icao,iata,municipio,uf,lat,lon
SBAC,,Aracati,Ceará,-4.5686111,-37.804722
SBAE,,Bauru,São Paulo,-22.157778,-49.068333
SBAR,,Aracaju,Sergipe,-10.985278,-37.073333
SBAT,,Alta Floresta,Mato Grosso,-9.8663889,-56.105
SBAU,,Araçatuba,São Paulo,-21.144167,-50.426389
SBBE,,Belém,Pará,-1.3847222,-48.478889
SBBG,,Bagé,Rio Grande do Sul,-31.390833,-54.109722
SBBR,,Brasília,Distrito Federal,-15.871111,-47.918611
SBBV,BVB,Boa Vista,Roraima,2.8413889408,-60.6922225952
SBBW,,Barra do Garças,Mato Grosso,-15.860833,-52.389444
SBCA,,Cascavel,Paraná,-25.002222,-53.501944
SBCB,,Cabo Frio,Rio de Janeiro,-22.920833,-42.071389
SBCF,,Belo Horizonte,Minas Gerais,-19.624444,-43.971944
SBCG,,Campo Grande,Mato Grosso do Sul,-20.469444,-54.670278
SBCH,,Chapecó,Santa Catarina,-27.133889,-52.661944
SBCJ,,Parauapebas,Pará,-6.1152778,-50.001389
SBCN,,Caldas Novas,Goiás,-17.724722,-48.61
SBCP,,Campos dos Goytacazes,Rio de Janeiro,-21.701111,-41.307778
SBCR,,Corumbá,Mato Grosso do Sul,-19.011944,-57.671389
SBCT,,Curitiba,Paraná,-25.531667,-49.176111
SBCX,,Caxias do Sul,Rio Grande do Sul,-29.195556,-51.189722
SBCY,,Cuiabá,Mato Grosso,-15.65,-56.1175
SBDB,,Bonito,Mato Grosso do Sul,-21.247222,-56.4525
SBDN,,Presidente Prudente,São Paulo,-22.178333,-51.418889
SBEG,,Manaus,Amazonas,-3.0411111,-60.050556
SBFI,,Foz do Iguaçu,Paraná,-25.600278,-54.485
SBFL,,Florianópolis,Santa Catarina,-27.670278,-48.5525
SBFN,,Fernando de Noronha,Pernambuco,-3.8547222,-32.428333
SBFZ,,Fortaleza,Ceará,-3.7758333,-38.532222
SBGL,,Rio de Janeiro,Rio de Janeiro,-22.81,-43.250556
SBGO,,Goiânia,Goiás,-16.6325,-49.221111
SBGR,,Guarulhos,São Paulo,-23.435556,-46.473056
SBGV,,Governador Valadares,Minas Gerais,-18.896944,-41.986111
SBHT,,Altamira,Pará,-3.2508333,-52.252222
SBIH,,Itaituba,Pará,-4.2422222,-56.000833
SBIL,,Ilhéus,Bahia,-14.815,-39.033333
SBIP,,Santana do Paraíso,Minas Gerais,-19.470556,-42.488056
SBIZ,,Imperatriz,Maranhão,-5.5305556,-47.458333
SBJA,,Jaguaruna,Santa Catarina,-28.675278,-49.060278
SBJD,,Jundiaí,São Paulo,-23.181667,-46.943611
SBJE,,Cruz,Ceará,-2.9066667,-40.358056
SBJI,,Ji-Paraná,Rondônia,-10.870556,-61.846667
SBJP,,João Pessoa,Paraíba,-7.1483333,-34.950278
SBJU,,Juazeiro do Norte,Ceará,-7.2191667,-39.269444
SBJV,,Joinville,Santa Catarina,-26.223056,-48.797778
SBKG,,Campina Grande,Paraíba,-7.2691667,-35.895
SBKP,,Campinas,São Paulo,-23.006944,-47.134444
SBLO,,Londrina,Paraná,-23.330278,-51.136667
SBMA,,Marabá,Pará,-5.3680556,-49.138056
SBMD,,Almeirim,Pará,-0.88972222,-52.602222
SBME,,Macaé,Rio de Janeiro,-22.342778,-41.763889
SBMG,,Maringá,Paraná,-23.476389,-52.017778
SBMK,,Montes Claros,Minas Gerais,-16.706111,-43.821944
SBML,,Marília,São Paulo,-22.195556,-49.926944
SBMO,,Maceió,Alagoas,-9.5108333,-35.791667
SBMQ,,Macapá,Amapá,0.050833333,-51.070278
SBMS,,Mossoró,Rio Grande do Norte,-5.1958333,-37.361667
SBNF,,Navegantes,Santa Catarina,-26.878611,-48.650833
SBNM,,Santo Ângelo,Rio Grande do Sul,-28.281667,-54.168333
SBPA,,Porto Alegre,Rio Grande do Sul,-29.994722,-51.171111
SBPB,,Parnaíba,Piauí,-2.8938889,-41.730278
SBPG,,Ponta Grossa,Paraná,-25.184444,-50.143889
SBPJ,,Palmas,Tocantins,-10.29,-48.357778
SBPK,,Pelotas,Rio Grande do Sul,-31.716111,-52.331111
SBPL,PNZ,Petrolina,Pernambuco,-9.3624095917,-40.5690994263
SBPO,,Pato Branco,Paraná,-26.217222,-52.694444
SBPP,,Ponta Porã,Mato Grosso do Sul,-22.549722,-55.703056
SBPS,,Porto Seguro,Bahia,-16.438056,-39.077778
SBPV,,Porto Velho,Rondônia,-8.7136111,-63.902778
SBQV,VDC,Vitoria Da Conquista,Bahia,-14.8627996445,-40.8630981445
SBRD,,Rondonópolis,Mato Grosso,-16.588056,-54.721667
SBRF,,Recife,Pernambuco,-8.1263889,-34.922778
